imagen,num_callos,area_media_mm2,area_std_mm2,area_min_mm2,area_max_mm2,area_total_mm2
p100.png,11,49.54,28.04,2.29,79.06,544.9
p101.png,11,52.61,23.47,4.98,77.29,578.71
p102.png,4,60.22,1.84,58.07,62.51,240.88
p103.png,12,39.41,17.91,18.85,71.77,472.98
p110.png,10,32.51,14.18,17.41,61.1,325.07
p111.png,18,37.72,29.87,1.58,83.73,679.05
p112.png,14,28.76,25.82,1.35,72.27,402.71
p113.png,13,42.68,30.43,1.02,86.14,554.88
p120.png,17,40.62,30.2,1.04,82.68,690.53
p121.png,16,28.5,22.68,1.58,71.46,455.99
p122.png,16,33.16,26.82,1.21,76.92,530.54
p130.png,9,59.12,13.38,41.02,82.21,532.06
p131.png,12,46.07,22.66,1.24,66.2,552.8
p132.png,8,22.7,19.99,1.03,55.64,181.62
p133.png,12,54.58,35.07,1.09,91.16,654.91
